V_apr,V_inc,V_age,V_per,W_apr,W_inc,W_age,W_per
6,2,6,2.3523713469425003,0.6869276023624932,0.4215055041601597,0.7614403432296745,0.6670235569231754
6,4,4,8.257466803402096,0.695042935691435,0.35812015083555293,0.5094477772594707,0.8028194555014202
5,4,4,0.03960587553670902,0.7117922095513005,0.2605614150185112,0.6839571375085458,0.7688340915905472
6,6,8,8.252762467041535,0.6872936305386068,0.33510097504938335,0.5986361012613023,0.9532496004816864
7,4,3,0.32385006823836604,0.7696724300129228,0.26432292042666317,0.53293455302931,0.8170555794199955
6,2,1,6.30977281722683,0.7984581565566462,0.17185706067885126,0.8493554819470078,0.7100179646348073
4,2,2,7.437765783295952,0.5413680188715777,0.3992337966273957,0.7135172616082353,0.9286629280346397
5,4,4,9.433270788951662,0.7175686054704355,0.32441424018007925,0.7316523852992018,0.818677111993351
6,2,6,8.053064294620802,0.6148876921445843,0.27224423228911077,0.567693942968102,0.9364382696333786
5,6,3,8.488083339841943,0.7312413798159209,0.10567692414060573,0.6378413541215193,0.8473964777894336
3,4,2,9.7650292519825,0.987097420645338,0.45353832112149706,0.7118367734298411,0.6353944418357634
3,8,2,7.648659110148264,0.6329605908390583,0.2911413492936638,0.5789823814547641,0.9267911648152571
7,2,4,3.2434996530911917,0.5281326976537076,0.2818361491707459,0.7585818502435402,0.8733060900903182
7,2,3,7.900133559835717,0.6729153502591771,0.3265196099793471,0.5709375718050851,0.7513212955783645
6,4,6,0.3700207634560393,0.6695814469115938,0.24504561752121887,0.6625620440884075,0.9276514041901661
6,4,6,9.597794198297537,0.8931770948139365,0.3335036743307579,0.5147256385183816,0.6706320196659494
5,2,3,7.984455456854293,0.5437875449615786,0.36319269818660604,0.8408837106686007,0.6673835008549291
7,10,3,6.17293643763741,0.7125025964418901,0.18365682579985637,0.8425386134543351,0.7259743239430879
6,2,4,3.1623011995271346,0.8565882162426104,0.2486268498062688,0.8415074307372047,0.7152558859175817
5,2,3,4.863731158356592,0.7184031695822972,0.31390496180583105,0.6272170406102436,0.7936336207391333
4,4,3,1.0271781065684793,0.672575186090755,0.25635531885633955,0.6176169974038052,0.8736430074840646
6,6,4,6.727202957485009,0.7072353505834971,0.28203773055488285,0.8070288080467194,0.7360895256112063
5,2,6,0.141433480251566,0.6967979469542886,0.2812821989781637,0.8123709603526156,0.8621842439059579
7,2,8,6.277503751520046,0.6522142578740272,0.5282658330196608,0.6710674424041497,0.6862668666214873
5,2,2,5.787457320527515,0.839303449716231,0.31358346612854204,0.816164674004864,0.9178579359014707
6,4,6,1.0804338187246576,0.6303495410938053,0.3665583779113851,0.7683335681433061,0.8532366365995443
6,8,3,0.7526947138150397,0.6618744862742931,0.3085299263662319,0.6906833117382638,0.6535353049971304
5,2,8,3.9366364981376787,0.6078287885846653,0.42186828186724157,0.6436095729120508,0.8690190955990353
5,6,4,3.863080799972031,0.8198532149963376,0.22709860917069585,0.7398830644700489,0.7689309118491373
5,4,2,0.6860660700835908,0.7234093467496565,0.22651886792446452,0.48945247023885685,0.7137157042488154
3,2,8,9.96323519518967,0.6249938683255271,0.3420101422475274,0.6580546861675071,0.8403410445053596
5,2,6,1.3977612603803125,0.7368359588850651,0.2928668941683984,0.8142595645675726,0.758866774131722
4,4,8,1.4977077749471623,0.804097940588668,0.3708410083645812,0.6174161389983432,0.7149715877354879
4,4,2,2.3028527288068035,0.9078206313833002,0.3936317830765672,0.8576310471860936,0.707923368565177
4,8,3,6.7837308193693,0.6241519429118023,0.3924544250594512,0.6198231229790647,0.6585414735994092
6,4,6,1.19352091521857,0.7186137897515976,0.29774980305049165,0.9427753504897269,0.725650985864191
5,2,3,5.199395775639168,0.8371331125895631,0.136380021208269,0.6952896813901174,0.9400734074807149
6,2,1,3.7549013021804623,0.6231877668148471,0.22026571737736148,0.7182890203496336,0.9138031298003371
4,6,2,5.558698659460102,0.6880356632241326,0.12474764743664976,0.5332792516577434,0.7833092587010321
4,6,2,6.572010685243576,0.8266988139102329,0.18342860400956723,0.6629421373061216,0.7477685619811186
1,8,4,6.6873068693412225,0.6900324455056175,0.35059393967509334,0.794726157987793,0.6887128735121865
5,6,2,5.154815197542727,0.5937167518548998,0.4005152995861684,0.6687072232185804,0.8134296778003794
5,4,8,2.9901555555650274,0.46632180554879266,0.37444513348542047,0.8153776075396861,0.9205709351581802
5,2,4,1.4214170091512146,0.6591236332298848,0.2092878598683131,0.8426600816659067,0.9406590982443509
8,2,3,0.3321124893199312,0.7033186599143546,0.30807745902495143,0.660998968835586,0.5628802294336555
6,4,2,2.0287894586057997,0.7331870075656622,0.26815187113664934,0.776307721153781,0.7748521220672536
6,6,4,6.951844889457334,0.7058649971411424,0.26498267917360835,0.8135556165982049,1.0
6,2,4,7.222286708994981,0.7169529446139127,0.377245285224701,0.7032119416574222,0.6689951560111992
5,2,8,5.036650912866518,0.6098876537803735,0.252395461557691,0.5082235568485463,0.8524792176594825
7,2,3,5.459321820445081,0.7696866091147713,0.5187882352211249,0.8156657535125427,0.7644864424374187
